Feature ID	Taxon	Consensus
c3af96e7a5d4f8a559a48a1dc7f75a86	D_0__Bacteria; D_1__Acidobacteria; D_2__Subgroup 6; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium	0.6
02608cbb31afaa5b5e177768c6f4800c	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micromonosporales; D_4__Micromonosporaceae	1.0
d4097fa875339f86d127d5464b82d7ba	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Gammaproteobacteria Incertae Sedis; D_4__Unknown Family; D_5__Acidibacter; D_6__uncultured bacterium	0.7
f38ff260c11374b14e8345594935f04c	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__CCD24; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium	0.8
c25f919f91aeed36b22df39e9f88c9cd	D_0__Bacteria; D_1__Acidobacteria; D_2__Acidobacteriia; D_3__Solibacterales; D_4__Solibacteraceae (Subgroup 3); D_5__Candidatus Solibacter; D_6__uncultured bacterium	0.8
19418efa363e8ebcc23c55626a9c7485	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Gammaproteobacteria Incertae Sedis; D_4__Unknown Family; D_5__Acidibacter; D_6__uncultured bacterium	0.7
373a2c3c8c2864b41757f7ac1aaa94ad	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Massilia	0.8
3881fe3d698780bddb08e473a75460d0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Microscillaceae; D_5__uncultured; D_6__uncultured bacterium	0.7
f2463927c6ad435ff61b69bf1e94b202	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Xanthomonadales; D_4__Xanthomonadaceae; D_5__Lysobacter	1.0
df3d6113f855e22f2a6d44e60f01baa7	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptostreptococcaceae; D_5__Romboutsia; D_6__uncultured bacterium	0.7
ef816481680c90668eccc5fd5f55ca81	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Pedosphaerales; D_4__Pedosphaeraceae	1.0
c1ceb93d142016d8bbbbe21af1b7c503	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Paenibacillaceae; D_5__Paenibacillus	1.0
4dc53ff8537c99176c9ba41154f518f5	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Gammaproteobacteria Incertae Sedis; D_4__Unknown Family; D_5__Acidibacter; D_6__uncultured bacterium	0.7
0be25e4c445f978d165c30f36c9b41ae	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sphingomonadales; D_4__Sphingomonadaceae; D_5__Sphingobium	1.0
875a8d8d7c3e1dd22688ce77ce98f79a	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micromonosporales; D_4__Micromonosporaceae; D_5__Actinoplanes	0.6
0822712d5d78820fda15dcc518e3557e	D_0__Archaea; D_1__Thaumarchaeota; D_2__Nitrososphaeria; D_3__Nitrosopumilales; D_4__Nitrosopumilaceae; D_5__Candidatus Nitrosotenuis	1.0
