OTU ID,1,2,3,4,5,6,7
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__uncultured crenarchaeote; f__uncultured crenarchaeote,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__uncultured euryarchaeote; f__uncultured euryarchaeote,23.166666666666668,38.75,35.0,65.75,117.5,2.75,6.0
d__Archaea; p__Thaumarchaeota; c__Group 1.1c; o__uncultured archaeon; f__uncultured archaeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Thaumarchaeota; c__Group 1.1c; o__uncultured thaumarchaeote; f__uncultured thaumarchaeote,0.0,1.25,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae,43.0,81.75,58.0,98.5,166.5,14.5,16.75
d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae,14.0,16.0,15.0,14.25,36.25,6.0,6.5
d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrosotaleales; f__Nitrosotaleaceae,0.0,3.0,0.0,0.75,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__AT-s3-28; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1),0.5,14.5,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__uncultured,8.166666666666666,22.5,9.75,18.25,15.5,6.0,5.25
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae (Subgroup 3),131.83333333333334,196.75,163.75,227.75,210.5,77.75,58.75
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Subgroup 12; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Subgroup 13; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Subgroup 2; f__uncultured bacterium,1.1666666666666667,9.5,1.75,0.0,1.0,0.0,0.0
