OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Acidobacteria; c__Subgroup 22; o__uncultured bacterium; f__uncultured bacterium,5.166666666666666,0.0,12.5,16.75,5.75,3.75,5.0
d__Bacteria; p__Acidobacteria; c__Subgroup 25; o__uncultured bacterium; f__uncultured bacterium,0.3333333333333333,0.0,1.5,2.25,4.5,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 5; o__uncultured Acidobacteria bacterium; f__uncultured Acidobacteria bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 5; o__uncultured bacterium; f__uncultured bacterium,1.1666666666666667,0.0,8.25,15.5,2.75,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__Unknown Order; f__Unknown Family,5.0,0.0,3.75,0.5,2.25,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured Acidobacteria bacterium; f__uncultured Acidobacteria bacterium,28.166666666666668,31.25,112.0,100.0,82.75,13.0,9.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured Acidobacteriales bacterium; f__uncultured Acidobacteriales bacterium,5.5,0.0,23.75,18.5,21.0,1.5,3.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured bacterium; f__uncultured bacterium,121.5,105.5,261.25,190.75,156.5,57.75,43.25
d__Bacteria; p__Acidobacteria; c__Subgroup 9; o__uncultured bacterium; f__uncultured bacterium,0.5,0.0,0.0,2.25,0.0,2.0,0.0
d__Bacteria; p__Acidobacteria; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae,72.0,79.75,238.5,267.75,142.25,32.0,33.75
d__Bacteria; p__Actinobacteria; c__0319-7L14; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,1.5,0.0,1.25,0.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Acidimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Actinomarinales; f__uncultured,0.0,2.25,2.75,0.0,1.75,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__uncultured bacterium,28.166666666666668,16.0,47.75,48.0,43.75,8.75,14.75
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae,23.166666666666664,12.25,14.5,17.75,24.25,7.75,5.75
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae,41.0,29.75,40.75,42.0,47.25,26.5,10.5
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae,13.833333333333334,8.75,5.0,4.25,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__uncultured,45.166666666666664,29.75,75.25,74.25,68.5,20.0,30.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__uncultured; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,1.3333333333333333,0.0,0.0,0.75,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Catenulisporales; f__Actinospicaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Catenulisporales; f__Catenulisporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae,1.6666666666666667,3.5,1.25,1.75,0.75,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae,72.33333333333333,51.75,78.75,69.5,37.75,14.75,22.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae,16.166666666666664,14.25,8.75,5.25,6.25,7.25,1.5
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Acidothermaceae,1.3333333333333333,10.75,5.0,6.5,6.5,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Cryptosporangiaceae,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Frankiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Geodermatophilaceae,46.49999999999999,33.5,59.0,44.75,45.75,12.25,20.25
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Nakamurellaceae,3.5,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae,0.0,0.0,0.0,3.75,3.5,7.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__uncultured,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Glycomycetales; f__Glycomycetaceae,0.6666666666666666,2.5,4.75,2.25,6.25,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Kineosporiales; f__Kineosporiaceae,10.0,2.5,0.0,4.75,15.25,2.75,3.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Beutenbergiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Bogoriellaceae,3.5,0.0,3.75,1.75,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae,35.49999999999999,33.0,38.0,29.0,23.0,7.5,3.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Cellulomonadaceae,25.833333333333332,19.0,12.25,0.0,1.5,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Demequinaceae,0.0,1.25,0.0,0.0,1.75,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae,18.833333333333332,27.0,16.75,22.25,13.75,3.5,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae,62.833333333333336,37.0,44.5,19.25,21.75,5.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Jonesiaceae,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae,146.83333333333331,102.25,117.5,77.5,54.0,10.75,1.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae,127.0,116.0,80.0,75.25,60.75,18.75,18.5
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcales Incertae Sedis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Promicromonosporaceae,31.5,39.5,13.25,15.5,13.0,0.0,6.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Sanguibacteraceae,0.0,3.25,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae,293.1666666666667,199.0,331.0,300.25,283.25,86.5,73.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae,321.1666666666667,231.5,394.0,235.25,193.75,61.25,65.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae,3.0,0.0,0.0,2.5,2.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae,14.666666666666666,16.5,22.75,30.5,18.75,17.5,9.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae,130.33333333333334,97.5,97.5,73.75,116.25,58.0,38.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptosporangiales; f__Nocardiopsaceae,4.666666666666667,2.75,14.75,3.75,1.75,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptosporangiales; f__Streptosporangiaceae,40.0,20.75,5.5,19.0,6.5,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptosporangiales; f__Thermomonosporaceae,21.0,31.0,47.75,48.0,23.25,9.75,4.25
d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__OPB41; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__MB-A2-108; o__uncultured bacterium; f__uncultured bacterium,3.9999999999999996,2.5,7.5,14.5,6.5,0.0,1.5
d__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales; f__Euzebyaceae,0.0,0.0,0.0,0.0,0.75,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Nitriliruptorales; f__Nitriliruptoraceae,0.0,0.0,0.0,0.5,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteriaceae,0.0,0.0,4.75,0.0,2.25,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae,56.333333333333336,38.75,117.0,93.5,92.0,43.5,61.75
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__uncultured,18.333333333333332,18.75,112.0,86.75,62.5,14.25,26.5
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__67-14,52.5,39.5,130.5,117.5,87.25,36.25,43.75
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae,47.833333333333336,6.0,92.75,48.0,53.25,20.5,31.5
d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__uncultured; f__uncultured bacterium,0.0,0.0,0.0,4.25,3.0,1.5,0.0
