OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured Acidobacteriales bacterium; f__uncultured Acidobacteriales bacterium,5.5,8.25,22.75,8.0,11.0,1.0,4.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured bacterium; f__uncultured bacterium,121.5,161.5,209.0,247.75,169.25,58.75,79.25
d__Bacteria; p__Acidobacteria; c__Subgroup 9; o__uncultured bacterium; f__uncultured bacterium,0.5,0.0,1.25,0.75,0.0,1.0,1.25
d__Bacteria; p__Acidobacteria; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae,72.0,164.75,211.75,371.75,204.0,62.0,47.75
d__Bacteria; p__Actinobacteria; c__0319-7L14; o__uncultured bacterium; f__uncultured bacterium,0.0,1.25,0.0,0.0,0.0,6.25,1.5
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Acidimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Actinomarinales; f__uncultured,0.0,2.0,2.25,5.25,0.0,0.0,2.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__uncultured bacterium,28.166666666666668,32.75,53.25,75.75,47.0,14.25,34.75
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae,23.166666666666664,38.0,5.75,25.5,27.5,10.5,13.25
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae,41.0,57.25,42.25,77.25,63.25,27.25,44.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae,13.833333333333334,20.75,5.75,11.5,12.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__uncultured,45.166666666666664,102.0,54.25,96.5,80.25,19.0,75.5
d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__uncultured; f__uncultured bacterium,0.0,0.0,0.0,0.0,3.25,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Catenulisporales; f__Actinospicaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
