SampleID,Unclassified|Other|Other,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Bacteroidetes|c__[Saprospirae],k__Bacteria|p__Chlorobi|c__OPB56,k__Bacteria|p__Chloroflexi|c__Anaerolineae,k__Bacteria|p__Chloroflexi|c__Ktedonobacteria,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__ML635J-21,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__GN02|c__3BR-5F,k__Bacteria|p__GN02|c__BD1-5,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__SR1|c__,k__Bacteria|p__Spirochaetes|c__Spirochaetes,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
E160SK81.04,0,0,0,0.023724101,0.005964661,0,0,0.111758902,0,0.004843484,0,0,0,0,0,0,0,0,0,0.546327025,0.100591981,0.002690824,0.029374832,0,0,4.48E-05,0.115974527,0,0.050452955,0.00291506,0.000134541,0,0.00520226,0,0,0
H160TB7N.04,0,0.000199273,0,0.038011259,0.000797091,0,0,0.032630897,0,0.000498182,0,0,0,0,0,0,0,0,9.96E-05,0.62207941,0.166342849,0.000597818,0.093807602,0,0,0,0.025058536,0,0.017037812,0.001843272,0,0,0.000996363,0,0,0
B160SPYG.04,0,3.83E-05,0,0.032175377,0.000420843,0,0,0.089869156,0,0.001032979,0,0,0,0,0,0,0,0,0,0.580648864,0.160073456,0.00099472,0.119825541,0,0,0,0.000306068,0,0.00952636,0.0045145,0,0,0.000573877,0,0,0
D160SYZD.04,0,0,0,0.006338582,0,0,0,1.54E-05,0,6.17E-05,0,0,0,0,0,0,0,0,3.08E-05,0.971067689,0.022393239,0,1.54E-05,0,0,0,7.71E-05,0,0,0,0,0,0,0,0,0
C160SGV1.04,0,0,0,0.023581788,0.001113005,0,0,0.031059789,0,0.015616848,0,0,0,0,0,0,0,0,0,0.724357414,0.090431637,0.000939098,0.056624117,0,0,0,0.027164273,0,0.015199471,0.00521721,0.000347814,0,0.008347536,0,0,0
F160SQS8.04,0,0,0,0.006390471,0.00099987,0,0,0.109681346,0,0.001260705,0,0,0,0,0,0,0,0,8.69E-05,0.785680129,0.081641525,8.69E-05,0.002086684,0,0,0,0.001912794,0,0.006390471,0.003608225,0,0,0.00017389,0,0,0
F160SV5L.04,0,0,0,0.009321575,0.000193394,0,0,0.05318326,0,0.008006498,0,0,0,0,0,0,0,0,0.000116036,0.741393982,0.101299605,7.74E-05,0.040999458,0,0,0,0.036280653,0,0.0067301,0.001972615,0.000116036,0,0.00030943,0,0,0
H160SX87.04,0,0,0,0.009704261,0.000104798,0,0,0.002494184,0,0.000817422,0,0,0,0,0,0,0,0,6.29E-05,0.931399468,0.053572551,2.10E-05,0.001006057,0,0,0,0.000649745,0,8.38E-05,2.10E-05,0,0,6.29E-05,0,0,0
H160SGHZ.04,0,0,0,0.000829709,0.000427426,0,0,0.020114148,0,0.000226284,0,0,0,0,0,0,0,0,0.000351998,0.87788198,0.099917029,0,0.000100571,0,0,0,0,0,7.54E-05,5.03E-05,0,0,0,0,0,2.51E-05
K160SW23.04,0,0,0,0.008493753,0.002066048,0,0,0.067884432,0,0.000688683,0,0,0,0,0,0,0,0,0.000229561,0.793526383,0.08867609,0.000196766,0.001213393,0,0,0,0.005542256,0,0.029121438,0.002295609,0,0,6.56E-05,0,0,0
B160SNFN.04,0,0,0,0.000887291,4.55E-05,0,0,0.052213678,0,0.00063703,0,0,0,0,0,0,0,0,4.55E-05,0.874277654,0.045888884,6.83E-05,0.001592574,0,0,0,0.022318788,0,0.0010693,0.000887291,4.55E-05,0,2.28E-05,0,0,0
E160SYK7.04,0,0,0,0.000308537,0,0,0,0.038937398,0,6.17E-05,0,0,0,0,0,0,0,0,6.17E-05,0.915645923,0.03936935,0,6.17E-05,0,0,0,0.001203295,0,0.002961957,0.001388418,0,0,0,0,0,0
H160T70C.04,0,0,0,0.001329826,2.89E-05,0,0,0.013413894,0,0.000838368,0,0,0,0,0,0,0,0,0.00037582,0.895059409,0.087739585,0,0.000115637,0,0,0,0,0,0,0.001098552,0,0,0,0,0,0
G160TFN9.04,0,3.11E-05,0,0.000342455,0.000311323,0,0,0.009121758,0,0.000716042,0,0,0,0,0,0,0,0,0.000747175,0.85738302,0.130599919,0,0.000747175,0,0,0,0,0,0,0,0,0,0,0,0,0
C160T9QP.04,0,0,0,0.003170962,6.75E-05,0,0,0.063014438,0,0.001281878,0,0,0,0,0,0,0,0,0,0.79449467,0.022196735,0.000404804,0.00620699,0,0,0,0.102820132,0,0.000674673,0.005397382,6.75E-05,0,0.000202402,0,0,0
H160SSBF.04,0,9.09E-05,0,0.002387232,0.003933248,0,0,0.012822845,0,2.27E-05,0,0,0,0,0,0,0,0,0.000522917,0.80133685,0.107289014,0.000682066,0.066183158,0,0,0,0.000636595,0,0.00397872,9.09E-05,0,0,2.27E-05,0,0,0
C160SZF2.04,0,0,0,0.003771881,0.000743751,0,0,0.074534491,0,0.001062502,0,0,0,0,0,0,0,0,0.000159375,0.820623157,0.074029803,0.000398438,0.015751587,0,0,0,0.00292188,0,0.003984381,0.001832815,0.000132813,0,5.31E-05,0,0,0
K160SZ4S.04,0,0,0,0.000595752,0,0,0,0.019391737,0,0.003693664,0,0,0,0,0,0,0,0,0.000297876,0.928896965,0.039111138,0,0.00399154,0,0,0,0.002383009,0,0.000506389,0.001131929,0,0,0,0,0,0
