SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|Other,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria],k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__[Brachyspirae],k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Tenericutes|c__RF3,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
E160SKS5.03,0,0,0.034022122,3.45E-05,0,0,0,0.17229299,0,0,0,0,0,0,0.281630121,0.367994854,0,1.15E-05,0,0,0,1.15E-05,0,0,0.144002481,0,0,0,0,0,0,0,0
C160SSVD.03,0.000777867,0,0.000255419,0,0,0,0,2.32E-05,0,0,0,0,0,0,0.020712154,0.850870166,0,0,0,0,1.16E-05,0,0,2.32E-05,0.127326344,0,0,0,0,0,0,0,0
J160TD1S.03,3.75E-05,0,0.133667267,0.00941768,0,0,0,0.127063635,0,0,0,0,0,0.000131322,0.010243134,0.704862674,1.88E-05,0,0,0,0,0,0,0.005778178,0.007410326,0,0,0,0,0,0.001369503,0,0
A160SSTH.03,0.001081571,0,0.011478613,8.14E-05,0,0,0,0,0,0,0,0,0,0.000255856,0.007408183,0.875619287,0,0,0,0,0,1.16E-05,0,0,0.104063452,0,0,0,0,0,0,0,0
G160TMTH.03,3.04E-05,0,0.211397087,0.001141535,0,0,0,0.123072708,0,0,0,0,0,0.000410953,0.021323876,0.612791282,0,0,0,0,0,3.04E-05,0,0,0.029786457,0,0,0,0,0,1.52E-05,0,0
F160SYRG.03,0.000579601,0,0.129157072,0.000266303,0,0,0,1.57E-05,0,0,0,0,0,9.40E-05,0.022620111,0.812491188,6.27E-05,0,0,0,0,0,0,3.13E-05,0.034682081,0,0,0,0,0,0,0,0
K160VTCD.03,4.15E-05,0,0.100192998,0.02029593,0,2.08E-05,0,0.247328118,0,0,0,0,0,0.000103762,0.00367319,0.57144043,0.000830099,4.15E-05,0,0,0.000269782,0.030858945,0.002075249,6.23E-05,0.018469712,0,0.004192002,0,0,0,0,0,0.000103762
D160V4YZ.03,3.16E-05,0,0.199269923,0.001801489,0,0,0,0.044547336,0,0,0,0,0,0.000300248,0.014696354,0.717956417,0.000158025,0,0,0,0,0,0,0,0.0212228,0,1.58E-05,0,0,0,0,0,0
J160T3SN.03,9.02E-05,0,0.202967872,0.003493889,0,0,0,0.046593781,0,0,0,0,0,0.000257852,0.015187458,0.72310608,3.87E-05,0,0,0,0,0,0,0.002127276,0.005582487,0,0,0,0,0,0.000554381,0,0
D160TD2P.03,0,0,0.005186939,0.010889351,0,0,0,0.108990158,0,0,0,0,0,0.000225519,0.020361153,0.828202774,0,0,0,0,0,0,0,0,0.024517148,0,0,0,0,0,0.001626959,0,0
J160WDD4.03,0,0,0.069424871,0.003471244,0,0,0,0.326474908,0,0,0,0,0,1.48E-05,0.001394431,0.562089273,0.000163178,0,0,0,0,0,0,0.009508834,0.027458427,0,0,0,0,0,0,0,0
H160VGCN.03,3.16E-05,0,0.016812565,0.002069968,0,0,0,0.132730778,0,0,0,0,0,0,0.005356635,0.827434188,0.000252821,1.58E-05,0,0,0,3.16E-05,1.58E-05,0,0.015232437,0,0,0,0,0,0,0,1.58E-05
