,Experiments,Time,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae
55,exp_0,0.0.55,21550.0,10026.0,1728.0,4559.0,2455.0,1085.0,2.0,643.0,179.0,178.0,202.0,5.0,0.0,29.0,19.0
56,exp_0,0.0.56,15860.0,6988.0,5641.0,2315.0,1481.0,787.0,1.0,562.0,190.0,234.0,169.0,12.0,0.0,18.0,33.0
57,exp_0,0.0.57,19865.0,6170.0,7377.0,2347.0,1933.0,952.0,13.0,1013.0,289.0,387.0,246.0,25.0,35.0,19.0,67.0
58,exp_0,0.0.58,19388.0,8408.0,3016.0,3928.0,1993.0,1115.0,9.0,527.0,251.0,337.0,245.0,7.0,7.0,43.0,46.0
59,exp_0,0.0.59,13587.0,10223.0,113.0,4607.0,625.0,477.0,17.0,1191.0,76.0,315.0,210.0,36.0,4.0,63.0,14.0
60,exp_0,0.0.60,19528.0,6222.0,907.0,2597.0,1367.0,657.0,0.0,311.0,217.0,202.0,185.0,0.0,0.0,12.0,30.0
61,exp_0,0.0.61,13288.0,4628.0,6840.0,1560.0,1226.0,432.0,13.0,388.0,146.0,230.0,45.0,1.0,0.0,14.0,29.0
62,exp_0,0.0.62,30482.0,6416.0,1499.0,2945.0,1386.0,611.0,3.0,1825.0,215.0,231.0,145.0,0.0,0.0,133.0,24.0
63,exp_0,0.0.63,20027.0,7452.0,3328.0,3007.0,1784.0,167.0,10.0,724.0,288.0,193.0,239.0,4.0,3.0,60.0,16.0
64,exp_0,0.0.64,22872.0,6499.0,4670.0,2636.0,1224.0,454.0,2.0,409.0,270.0,142.0,90.0,0.0,0.0,25.0,42.0
65,exp_0,0.0.65,22416.0,5358.0,2742.0,2667.0,1131.0,567.0,152.0,294.0,190.0,182.0,77.0,2.0,34.0,32.0,71.0
66,exp_0,0.0.66,19853.0,5716.0,1876.0,3771.0,1167.0,940.0,6.0,277.0,123.0,359.0,97.0,6.0,0.0,27.0,33.0
67,exp_0,0.0.67,20672.0,3734.0,7673.0,1963.0,551.0,450.0,728.0,157.0,215.0,180.0,58.0,2.0,8.0,11.0,21.0
68,exp_0,0.0.68,22710.0,4787.0,364.0,1554.0,545.0,609.0,9.0,261.0,41.0,51.0,101.0,1.0,1.0,0.0,10.0
69,exp_0,0.0.69,21385.0,6053.0,1.0,1966.0,968.0,1283.0,10.0,1139.0,10.0,51.0,169.0,3.0,9.0,6.0,8.0
70,exp_0,0.0.70,24904.0,6572.0,1062.0,2379.0,1523.0,1924.0,394.0,883.0,208.0,149.0,209.0,28.0,2.0,4.0,38.0
71,exp_0,0.0.71,27001.0,4823.0,1621.0,1800.0,2197.0,1224.0,121.0,815.0,75.0,97.0,138.0,2.0,1.0,20.0,21.0
72,exp_0,0.0.72,26991.0,5659.0,2124.0,2956.0,1276.0,1137.0,84.0,962.0,133.0,91.0,157.0,1.0,0.0,18.0,24.0
73,exp_0,0.0.73,17857.0,7662.0,6048.0,3231.0,598.0,785.0,61.0,738.0,346.0,199.0,199.0,0.0,0.0,43.0,29.0
74,exp_0,0.0.74,22935.0,7339.0,293.0,4426.0,765.0,681.0,754.0,456.0,132.0,183.0,292.0,11.0,0.0,5.0,17.0
75,exp_0,0.0.75,24309.0,5812.0,707.0,3797.0,597.0,465.0,1.0,590.0,78.0,192.0,234.0,0.0,0.0,10.0,32.0
76,exp_0,0.0.76,21316.0,4367.0,4284.0,1606.0,786.0,354.0,12.0,577.0,349.0,202.0,309.0,0.0,0.0,21.0,69.0
77,exp_0,0.0.77,16907.0,3675.0,4505.0,1564.0,289.0,262.0,1239.0,238.0,929.0,157.0,106.0,531.0,935.0,30.0,309.0
78,exp_0,0.0.78,26717.0,8557.0,5653.0,4493.0,1827.0,547.0,13.0,924.0,478.0,218.0,265.0,40.0,10.0,47.0,28.0
79,exp_0,0.0.79,17405.0,5882.0,35.0,2278.0,2495.0,306.0,11.0,253.0,58.0,110.0,80.0,4.0,1.0,28.0,13.0
80,exp_0,0.0.80,14782.0,4923.0,8922.0,2450.0,284.0,141.0,1847.0,480.0,831.0,123.0,213.0,232.0,909.0,47.0,93.0
81,exp_0,0.0.81,18221.0,8539.0,93.0,4521.0,1119.0,511.0,6.0,500.0,281.0,258.0,424.0,3.0,1.0,63.0,25.0
82,exp_0,0.0.82,20022.0,8021.0,25.0,5219.0,1038.0,349.0,3523.0,263.0,219.0,395.0,140.0,112.0,8.0,88.0,10.0
83,exp_0,0.0.83,26690.0,7905.0,38.0,4075.0,1062.0,381.0,37.0,351.0,162.0,186.0,247.0,607.0,39.0,40.0,21.0
84,exp_0,0.0.84,32754.0,5380.0,763.0,4036.0,1130.0,1113.0,25.0,708.0,349.0,100.0,254.0,77.0,12.0,25.0,55.0
85,exp_0,0.0.85,22875.0,7249.0,1188.0,4757.0,726.0,496.0,15.0,1268.0,125.0,135.0,105.0,4.0,0.0,26.0,11.0
86,exp_0,0.0.86,25126.0,4817.0,4266.0,2007.0,652.0,527.0,165.0,735.0,194.0,195.0,95.0,21.0,3.0,42.0,16.0
87,exp_0,0.0.87,25717.0,7217.0,5210.0,3196.0,931.0,798.0,1.0,276.0,116.0,152.0,335.0,2.0,0.0,25.0,18.0
