,Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
126,PC-PJ-BF-BT-BC-BY-DP-BL-BA-FP-AC-BH-RI-CC-DL-DF,32.0,0.0557398996132642,0.0175272772155023,0.0,0.1160589977783263,0.0,0.1670617954414547,0.2676462601826709,0.0688458816753065,0.0,0.0058424257385007,0.0146850160454208,0.105163663293014,0.0,0.0,0.0,0.0026843577717436,0.0,0.1072164074714062,0.0009474203900271,0.0,0.0,0.0020527441783921,0.0090004937052579,0.1452711264708302,0.1929579527688636,15.33324056,44.41543452,37.11854845,12.4293732
127,PC-PJ-BF-BT-BC-BY-DP-BL-BA-FP-AC-BH-RI-CC-DL-DF,48.0,0.0474318581433467,0.0122247057070481,0.0,0.1257922217255252,0.0,0.1911943972582327,0.2704104902399046,0.0658911637609894,0.0,0.0040341528833258,0.0090462822232156,0.0334956936373118,0.0,0.0,0.0,0.0011002235136343,0.0,0.2287242437788705,0.0002444941141409,0.0,0.0,0.0007334823424228,0.0083127998807927,0.1316600804649083,0.2369147966025927,15.81535592,44.52826036,37.91395019,13.108237099999998
128,PC-PJ-BV-BF-BT-BC-DP-CA-EL-CH-AC-BH-CG-RI-DF,0.0,0.00044,0.00044,0.00044,0.00044,0.0,0.00044,0.00044,0.0,0.0,0.00044,0.0,0.0,0.0,0.00044,0.00044,0.0,0.00044,0.00044,0.00044,0.00044,0.0,0.00044,0.0,0.0,0.00044,0.0,0.0,28.0,0.0
129,PC-PJ-BV-BF-BT-BC-DP-CA-EL-CH-AC-BH-CG-RI-DF,16.0,0.5015119059095728,0.0175871653973456,0.0261030560107972,0.229003406279122,0.0,0.246960827790096,0.4024683955139946,0.0,0.0,0.0059240978180532,0.0,0.0,0.0,0.0323974099424788,0.0003702561136283,0.0,0.0655353321122144,0.1371798900992962,0.0009256402840708,0.0192533179086731,0.0,0.0020364086249558,0.0,0.0,0.2306695587904495,16.1066376,41.77171028,25.6849406,23.46888324
130,PC-PJ-BV-BF-BT-BC-DP-CA-EL-CH-AC-BH-CG-RI-DF,32.0,0.4087055210937259,0.0093525290868129,0.0147769959571644,0.1180289170755794,0.0,0.1765757491590285,0.2407340986945653,0.0,0.0,0.0054244668703515,0.0,0.0,0.0,0.048446100669691,0.0003741011634725,0.0,0.1322447612875351,0.4754825787735703,0.0009352529086812,0.0220719686448785,0.0,0.0016834552356263,0.0,0.0,0.3645615838039687,17.4731392,44.76867128,24.86255603,31.22421056
131,PC-PJ-BV-BF-BT-BC-DP-CA-EL-CH-AC-BH-CG-RI-DF,48.0,0.2997047940918763,0.0089442233070471,0.0099706095881837,0.1274185254725247,0.0,0.2467725873075478,0.2692064588809613,0.0,0.0,0.0030791588434096,0.0,0.0,0.0,0.0145160345475028,0.0010263862811365,0.0,0.0860698210038803,0.4637799724621353,0.0005865064463637,0.028005682813869,0.0,0.0017595193390912,0.0,0.0,0.3909065465014394,18.21414176,35.3468232,27.83471494,34.20577915
132,BF-BU-DP-BL-BA-CA-EL-FP-AC-CG-RI,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0006,0.0006,0.0,0.0006,0.0006,0.0006,0.0,0.0006,0.0,0.0006,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,28.0,0.0
133,BF-BU-DP-BL-BA-CA-EL-FP-AC-CG-RI,16.0,0.0,0.0,0.0,0.653899976451195,0.0,0.0,0.0,0.0,0.1188512304250559,0.0113468738961497,0.0804464264688567,0.4954801601318732,0.0,0.1189967031673142,0.0023275638761332,0.0068372188861415,0.0,0.1047403744259978,0.0,0.0477150594607323,0.0,0.0048006004945249,0.0,0.0,0.0,13.98745344,34.65300496,36.67985208,7.51790391
134,BF-BU-DP-BL-BA-CA-EL-FP-AC-CG-RI,32.0,0.0,0.0,0.0,0.3558727266592434,0.0,0.0,0.0151078044336471,0.0,0.1128049397712319,0.0080574956979451,0.0110790565846745,0.1957299996625839,0.0,0.1640036103519249,0.0020143739244862,0.0134291594965752,0.0,0.2882233356952458,0.0,0.0184650943077909,0.0,0.0025179674056078,0.0,0.4634738671255525,0.0,16.31855368,59.05753044,33.70580107,8.21950468
135,BF-BU-DP-BL-BA-CA-EL-FP-AC-CG-RI,48.0,0.0,0.0,0.0,0.558288584875753,0.0,0.0,0.0,0.0,0.3393640110225083,0.008194210744507,0.0083488184944033,0.2265003535981661,0.0,0.1003404296827371,0.0437539932206696,0.0126778354915014,0.0,0.6332733435754871,0.0,0.1393015826566196,0.0,0.002164508498549,0.0,0.0401980149730533,0.0,41.7633344,35.171572,0.97149163,13.56303859
